,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,LIMIT_USAGE,PAYMENT_MINPAYMENT,PURCHASE_TYPE_NONE,PURCHASE_TYPE_ONEOFF_INSTALLMENT,PURCHASE_TYPE_ONE_OFF
1480,0.64,12.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,1.0,0.0,0.01,1.41,0,0,1
1481,1.0,0.0,0.0,0.0,0.0,0.0,0.5,8,0.0,0.0,0.0,389.61,0.53,2.82,1,0,0
1482,1.0,2019.76,811.12,0.92,0.92,0.42,0.08,1,62.0,0.0,235.91,7.94,0.58,4.28,0,1,0
1483,1.0,1008.3,0.0,0.92,0.92,0.0,0.0,0,15.0,0.0,84.02,0.0,0.88,2.6,0,0,1
1484,1.0,446.32,1195.94,1.0,0.25,0.83,0.08,1,24.0,0.92,136.85,3.92,0.03,9.08,0,1,0
1485,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,40.11,0.34,6.59,1,0,0
1486,1.0,0.0,1119.56,1.0,0.0,0.92,0.83,14,13.0,0.0,93.3,396.26,0.26,1.84,0,0,0
1487,1.0,683.0,228.56,0.83,0.67,0.75,0.83,29,45.0,0.0,75.96,480.11,0.65,0.56,0,1,0
1488,1.0,1085.63,39.25,0.42,0.33,0.08,0.0,0,9.0,0.0,93.74,0.0,0.37,3.93,0,1,0
1489,1.0,0.0,0.0,0.0,0.0,0.0,0.58,11,0.0,0.0,0.0,93.01,0.96,1.09,1,0,0
1490,1.0,6689.898200000005,1241.24,1.0,0.92,0.5,0.0,0,56.0,0.42,682.58,0.0,0.24,19.76,0,1,0
1491,1.0,0.0,0.0,0.0,0.0,0.0,0.5,21,0.0,0.09,0.0,893.79,0.55,3.64,1,0,0
1492,1.0,64.9,252.5,0.25,0.08,0.25,0.33,4,5.0,0.0,26.45,17.93,0.94,0.63,0,1,0
1493,1.0,737.67,0.0,0.25,0.25,0.0,0.42,13,5.0,0.0,61.47,148.46,0.92,2.79,0,0,1
1494,0.82,843.0,376.0,0.75,0.75,0.42,0.0,0,21.0,0.67,101.58,0.0,0.04,12.34,0,1,0
1495,1.0,150.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,12.5,0.0,0.9,0.51,0,0,1
1496,1.0,0.0,508.32,1.0,0.0,1.0,0.0,0,36.0,0.0,42.36,0.0,0.26,0.85,0,0,0
1497,1.0,1344.79,121.26,1.0,1.0,0.5,0.0,0,21.0,1.0,122.17,0.0,0.02,7.91,0,1,0
1498,1.0,2675.63,887.44,0.92,0.67,0.67,0.0,0,69.0,0.0,296.92,0.0,0.58,1.78,0,1,0
1499,1.0,1048.28,1123.58,0.83,0.42,0.42,0.08,1,20.0,0.0,180.99,11.56,0.36,10.14,0,1,0
1500,0.18,0.0,47.96,0.17,0.0,0.17,0.0,0,4.0,0.0,4.0,0.0,0.0,2.86,0,0,0
1501,1.0,0.0,2118.66,0.92,0.0,0.92,0.0,0,17.0,1.0,176.55,0.0,0.04,14.84,0,0,0
1502,1.0,800.0,563.79,0.75,0.08,0.67,0.0,0,16.0,0.0,113.65,0.0,0.11,11.1,0,1,0
1503,1.0,2752.76,861.07,1.0,0.42,0.5,0.0,0,19.0,0.0,301.15,0.0,0.55,1.22,0,1,0
1504,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,39.03,0.91,0.67,1,0,0
1505,1.0,0.0,0.0,0.0,0.0,0.0,0.83,27,0.0,0.0,0.0,318.3,1.01,0.93,1,0,0
1506,1.0,0.0,0.0,0.0,0.0,0.0,0.18,2,0.0,0.0,0.0,36.15,0.92,0.66,1,0,0
1507,1.0,0.0,256.44,0.67,0.0,0.67,0.0,0,12.0,0.17,21.37,0.0,0.02,1.45,0,0,0
1508,0.91,0.0,0.0,0.0,0.0,0.0,0.17,3,0.0,0.0,0.0,108.73,0.63,5.47,1,0,0
1509,0.55,480.02,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,40.0,0.0,0.04,5.62,0,0,1
1510,1.0,2447.99,1024.0,1.0,0.83,1.0,0.17,2,57.0,0.0,289.33,86.48,0.79,3.05,0,1,0
1511,1.0,412.47,287.49,0.33,0.17,0.17,0.0,0,9.0,0.0,58.33,0.0,0.55,5.55,0,1,0
1512,1.0,118.79,0.0,0.42,0.42,0.0,0.17,5,5.0,0.0,9.9,181.41,0.4,0.72,0,0,1
1513,1.0,1149.91,192.95,0.33,0.25,0.08,0.25,4,13.0,0.0,111.9,270.78,0.17,16.68,0,1,0
1514,0.64,0.0,3886.2405000000003,0.5,0.0,0.5,0.0,0,12.0,1.0,343.0,0.0,0.03,36.17,0,0,0
1515,1.0,1774.46,0.0,0.58,0.58,0.0,0.0,0,12.0,0.0,147.87,0.0,0.89,0.4,0,0,1
1516,1.0,1469.05,0.0,0.33,0.33,0.0,0.17,2,29.0,0.0,122.42,132.1,0.92,0.49,0,0,1
1517,1.0,118.41,0.0,0.08,0.08,0.0,0.33,6,1.0,0.0,9.87,362.08,0.77,1.05,0,0,1
1518,0.78,0.0,0.0,0.0,0.0,0.0,0.44,15,0.0,0.14,0.0,634.83,0.42,7.52,1,0,0
1519,0.64,1043.31,1133.24,0.58,0.5,0.5,0.0,0,45.0,0.29,181.38,0.0,0.03,11.0,0,1,0
1520,1.0,0.0,494.7,0.83,0.0,0.83,0.17,6,10.0,0.0,41.22,92.64,0.9,2.51,0,0,0
1521,1.0,1307.0,0.0,0.17,0.17,0.0,0.0,0,1.0,0.0,217.83,0.0,0.26,13.25,0,0,1
1522,1.0,3101.11,1130.01,1.0,1.0,0.58,0.0,0,43.0,0.0,352.59,0.0,0.79,1.4,0,1,0
1523,1.0,1202.44,79.0,1.0,1.0,0.17,0.0,0,31.0,0.92,106.79,0.0,0.01,6.88,0,1,0
1524,1.0,1459.59,88.09,1.0,1.0,0.42,0.0,0,27.0,0.88,128.97,0.0,0.02,7.63,0,1,0
1525,0.5,525.65,0.0,0.33,0.33,0.0,0.17,1,7.0,0.0,87.61,896.2334000000003,0.39,0.73,0,0,1
1526,1.0,0.0,145.8,0.83,0.0,0.75,0.0,0,10.0,0.08,12.15,0.0,0.33,6.0,0,0,0
1527,1.0,783.03,789.39,1.0,0.58,1.0,0.42,11,34.0,0.17,131.04,159.2,0.57,7.19,0,1,0
1528,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,9.14,0.94,0.63,1,0,0
1529,1.0,0.0,0.0,0.0,0.0,0.0,0.17,3,0.0,0.0,0.0,50.78,0.87,0.42,1,0,0
1530,0.27,0.0,74.49,0.25,0.0,0.17,0.0,0,3.0,0.17,6.21,0.0,0.0,1.07,0,0,0
1531,1.0,158.0,195.52,0.67,0.08,0.58,0.42,9,10.0,0.0,29.46,98.62,0.52,0.79,0,1,0
1532,1.0,2724.52,384.76,1.0,1.0,0.83,0.5,7,48.0,0.0,259.11,213.35,0.75,1.05,0,1,0
1533,1.0,2095.35,2079.9,1.0,0.17,0.92,0.0,0,50.0,0.0,347.94,0.0,0.2,4.87,0,1,0
1534,1.0,0.0,705.84,0.92,0.0,0.92,0.0,0,11.0,0.45,58.82,0.0,0.01,3.22,0,0,0
1535,0.91,100.0,0.0,0.08,0.08,0.0,0.08,1,1.0,0.12,8.33,36.73,0.59,8.18,0,0,1
1536,1.0,0.0,0.0,0.0,0.0,0.0,0.25,8,0.0,0.0,0.0,463.9,0.24,9.95,1,0,0
1537,1.0,738.06,0.0,0.5,0.5,0.0,0.33,5,8.0,0.0,61.5,106.11,0.62,1.06,0,0,1
1538,0.09,0.0,88.62,0.58,0.0,0.5,0.0,0,7.0,0.0,7.39,0.0,0.0,58.76,0,0,0
1539,1.0,0.0,462.0,1.0,0.0,1.0,0.17,2,24.0,0.0,38.5,72.01,0.13,3.07,0,0,0
1540,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,21.39,0.57,1.18,1,0,0
1541,1.0,112.0,822.21,0.75,0.08,0.67,0.17,2,38.0,0.0,77.85,6.31,1.01,0.62,0,1,0
1542,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,13.74,0.92,0.78,1,0,0
1543,0.27,0.0,89.0,0.08,0.0,0.08,0.0,0,1.0,1.0,7.42,0.0,0.0,6.33,0,0,0
1544,0.18,0.0,80.0,0.17,0.0,0.08,0.0,0,2.0,0.09,6.67,0.0,0.0,2.88,0,0,0
1545,1.0,778.61,463.85,1.0,0.5,1.0,0.42,8,33.0,0.08,103.54,95.48,0.28,10.59,0,1,0
1546,1.0,114.54,0.0,0.08,0.08,0.0,0.17,2,1.0,0.17,9.54,131.14,0.5,9.34,0,0,1
1547,1.0,0.0,0.0,0.0,0.0,0.0,0.25,10,0.0,0.0,0.0,381.84,0.97,0.81,1,0,0
1548,1.0,45.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,3.75,0.0,0.42,0.97,0,0,1
1549,1.0,697.85,3197.82,1.0,0.42,1.0,0.17,3,49.0,0.17,324.64,11.28,0.17,8.19,0,1,0
1550,1.0,55.0,130.98,0.42,0.08,0.33,0.0,0,9.0,0.0,15.5,0.0,0.98,0.92,0,1,0
1551,0.9,1620.6,43.42,0.5,0.5,0.1,0.3,5,15.0,0.0,166.4,390.0,0.72,0.7,0,1,0
1552,1.0,169.9,1128.66,1.0,0.08,1.0,0.0,0,47.0,0.0,108.21,0.0,1.01,1.01,0,1,0
1553,1.0,30.0,241.86,1.0,0.08,0.92,0.0,0,12.0,0.78,22.66,0.0,0.01,1.82,0,1,0
1554,1.0,0.0,366.6,1.0,0.0,1.0,0.0,0,12.0,0.25,30.55,0.0,0.01,4.44,0,0,0
1555,1.0,138.5,267.0,0.5,0.17,0.42,0.0,0,12.0,0.0,33.79,0.0,0.19,3.88,0,1,0
1556,1.0,0.0,354.48,1.0,0.0,1.0,0.0,0,12.0,0.0,29.54,0.0,1.05,0.35,0,0,0
1557,1.0,0.0,486.72,1.0,0.0,0.92,0.0,0,12.0,0.1,40.56,0.0,0.11,1.34,0,0,0
1558,1.0,0.0,0.0,0.0,0.0,0.0,0.33,8,0.0,0.0,0.0,14.34,0.92,0.42,1,0,0
1559,1.0,931.7,1503.0,1.0,0.42,1.0,0.0,0,27.0,0.25,202.89,0.0,0.11,17.29,0,1,0
1560,1.0,6689.898200000005,0.0,1.0,1.0,0.0,0.08,4,72.0,0.92,758.6519000000003,147.65,0.21,39.71,0,0,1
1561,1.0,0.0,306.36,0.25,0.0,0.17,0.0,0,3.0,0.0,25.53,0.0,0.33,1.07,0,0,0
1562,1.0,0.0,0.0,0.0,0.0,0.0,0.67,15,0.0,0.09,0.0,876.62,0.4,5.56,1,0,0
1563,1.0,0.0,453.64,0.33,0.0,0.33,0.17,5,4.0,0.0,37.8,165.33,0.58,0.5,0,0,0
1564,0.55,325.66,0.0,0.33,0.33,0.0,0.0,0,7.0,0.0,27.14,0.0,0.04,2.67,0,0,1
1565,0.18,176.85,0.0,0.17,0.17,0.0,0.0,0,4.0,1.0,14.74,0.0,0.0,1.57,0,0,1
1566,1.0,482.51,244.38,0.83,0.58,0.67,0.0,0,23.0,0.17,60.57,0.0,0.03,3.72,0,1,0
1567,1.0,1722.51,2102.27,1.0,0.67,1.0,0.0,0,80.0,0.83,318.73,0.0,0.07,25.9,0,1,0
1568,1.0,725.0,977.42,0.92,0.08,0.83,0.0,0,12.0,0.25,141.87,0.0,0.03,9.19,0,1,0
1569,1.0,6367.49,1889.77,1.0,1.0,1.0,0.75,15,116.51000000000022,0.25,688.1,344.53,0.17,20.27,0,1,0
1570,1.0,426.92,0.0,0.42,0.42,0.0,0.08,1,13.0,0.0,35.58,3.01,0.11,3.37,0,0,1
1571,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,151.73,0.03,0.0,1,0,0
1572,0.82,2269.45,3886.2405000000003,1.0,0.33,1.0,0.0,0,64.0,0.0,740.05,0.0,0.12,28.92,0,1,0
1573,1.0,0.0,262.44,0.67,0.0,0.67,0.17,4,8.0,0.0,21.87,74.08,0.52,1.05,0,0,0
1574,0.09,2600.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,216.67,0.0,0.0,49.45,0,0,1
1575,1.0,1638.97,85.78,0.83,0.75,0.67,0.08,1,29.0,0.0,143.73,156.5,0.77,0.95,0,1,0
1576,1.0,288.0,0.0,0.08,0.08,0.0,0.08,1,3.0,0.0,24.0,15.81,0.03,1.74,0,0,1
1577,1.0,897.45,79.0,0.58,0.58,0.17,0.17,2,15.0,0.0,81.37,163.63,0.66,1.18,0,1,0
1578,1.0,0.0,930.0,0.42,0.0,0.33,0.42,14,13.0,0.0,77.5,303.32,0.74,1.06,0,0,0
1579,1.0,128.0,375.0,0.5,0.08,0.42,0.0,0,6.0,0.0,41.92,0.0,0.88,0.93,0,1,0
1580,0.2,0.0,0.0,0.0,0.0,0.0,0.1,1,0.0,0.5,0.0,4.72,0.0,16.81,1,0,0
1581,0.18,0.0,19.08,0.17,0.0,0.08,0.0,0,2.0,0.0,1.59,0.0,0.0,1.06,0,0,0
1582,1.0,6689.898200000005,3886.2405000000003,1.0,0.92,1.0,0.0,0,116.51000000000022,0.92,758.6519000000003,0.0,0.14,36.8,0,1,0
1583,1.0,517.0,0.0,0.27,0.27,0.0,0.0,0,12.0,0.0,47.0,0.0,0.97,0.76,0,0,1
1584,1.0,0.0,1037.5,0.42,0.0,0.42,0.0,0,5.0,0.27,86.46,0.0,0.27,4.14,0,0,0
1585,1.0,6689.898200000005,3886.2405000000003,1.0,1.0,1.0,0.0,0,116.51000000000022,0.0,758.6519000000003,0.0,0.61,8.84,0,1,0
1586,1.0,597.35,159.33,1.0,1.0,0.17,0.0,0,14.0,1.0,63.06,0.0,0.02,3.93,0,1,0
1587,0.45,452.07,0.0,0.17,0.17,0.0,0.17,4,3.0,0.0,37.67,43.54,0.2,0.77,0,0,1
1588,1.0,4726.17,270.0,0.83,0.75,0.17,0.0,0,35.0,0.67,416.35,0.0,0.04,54.61,0,1,0
1589,1.0,0.0,311.86,0.5,0.0,0.42,0.0,0,7.0,0.0,25.99,0.0,0.14,3.59,0,0,0
1590,1.0,0.0,824.31,0.92,0.0,0.92,0.0,0,27.0,1.0,68.69,0.0,0.01,4.3,0,0,0
1591,0.18,0.0,333.24,1.0,0.0,1.0,0.0,0,12.0,0.0,27.77,0.0,0.0,7.89,0,0,0
1592,0.18,0.0,513.24,1.0,0.0,1.0,0.0,0,12.0,0.0,42.77,0.0,0.0,137.18110000000036,0,0,0
1593,0.82,650.78,495.81,0.67,0.17,0.5,0.0,0,14.0,0.5,95.55,0.0,0.02,10.97,0,1,0
1594,0.9,1400.0,200.0,0.3,0.1,0.1,0.0,0,5.0,0.0,160.0,0.0,0.58,1.85,0,1,0
1595,1.0,407.0,416.1,0.5,0.17,0.33,0.0,0,13.0,0.0,68.59,0.0,0.35,2.74,0,1,0
1596,1.0,75.0,591.1,0.92,0.08,0.92,0.08,1,18.0,0.0,55.51,24.74,0.32,3.11,0,1,0
1597,1.0,0.0,397.44,1.0,0.0,1.0,0.0,0,12.0,0.0,33.12,0.0,0.61,6.13,0,0,0
1598,1.0,0.0,537.51,1.0,0.0,0.83,0.0,0,12.0,1.0,44.79,0.0,0.05,2.69,0,0,0
1599,0.82,0.0,0.0,0.0,0.0,0.0,0.17,3,0.0,0.14,0.0,90.59,0.58,7.18,1,0,0
1600,0.9,0.0,0.0,0.0,0.0,0.0,0.2,11,0.0,0.0,0.0,375.8,0.87,0.52,1,0,0
1601,1.0,849.92,130.0,0.75,0.42,0.42,0.0,0,18.0,0.0,81.66,0.0,0.27,0.59,0,1,0
1602,1.0,34.74,0.0,0.1,0.1,0.0,0.2,3,1.0,0.0,3.47,18.54,0.52,7.7,0,0,1
1603,1.0,1669.8,232.6,1.0,1.0,0.83,0.0,0,29.0,0.0,158.53,0.0,0.78,3.14,0,1,0
1604,1.0,6689.898200000005,3886.2405000000003,1.0,1.0,1.0,0.0,0,116.51000000000022,1.0,758.6519000000003,0.0,0.19,50.06,0,1,0
1605,1.0,2797.99,411.63,1.0,0.58,1.0,0.5,10,32.0,0.08,267.47,79.47,0.17,12.76,0,1,0
1606,0.82,0.0,262.5,0.75,0.0,0.67,0.0,0,14.0,1.0,21.88,0.0,0.01,1.83,0,0,0
1607,1.0,0.0,339.96,1.0,0.0,1.0,0.25,4,12.0,0.0,28.33,69.19,0.8,0.87,0,0,0
1608,1.0,270.02,0.0,0.08,0.08,0.0,0.17,2,2.0,0.0,22.5,11.64,0.89,0.61,0,0,1
1609,0.64,3263.48,0.0,0.58,0.58,0.0,0.0,0,25.0,1.0,271.96,0.0,0.05,31.98,0,0,1
1610,1.0,1715.55,206.3,0.92,0.5,0.67,0.0,0,20.0,0.0,160.15,0.0,0.91,0.72,0,1,0
1611,0.55,0.0,96.5,0.5,0.0,0.42,0.0,0,6.0,1.0,8.04,0.0,0.0,3.25,0,0,0
1612,1.0,0.0,281.31,0.42,0.0,0.42,0.17,4,5.0,0.0,23.44,254.72,0.9,0.88,0,0,0
1613,0.73,3420.97,0.0,0.25,0.25,0.0,0.0,0,31.0,0.12,285.08,0.0,0.62,0.91,0,0,1
1614,1.0,0.0,628.56,1.0,0.0,1.0,0.0,0,24.0,0.0,52.38,0.0,0.29,2.77,0,0,0
1615,1.0,5093.0,694.66,0.83,0.67,0.75,0.0,0,63.0,0.58,482.3,0.0,0.38,21.44,0,1,0
1616,1.0,1845.75,2902.75,1.0,1.0,1.0,0.0,0,82.0,0.58,395.71,0.0,0.04,22.01,0,1,0
1617,1.0,4882.68,257.81,1.0,0.75,0.5,0.0,0,57.0,0.0,428.37,0.0,0.27,15.49,0,1,0
1618,1.0,3707.79,0.0,0.67,0.67,0.0,0.0,0,57.0,0.0,308.98,0.0,0.63,1.04,0,0,1
1619,1.0,262.92,0.0,0.92,0.92,0.0,0.0,0,11.0,0.64,21.91,0.0,0.0,1.65,0,0,1
1620,1.0,0.0,270.0,0.27,0.0,0.18,0.0,0,3.0,1.0,24.55,0.0,0.04,1.2,0,0,0
1621,0.09,0.0,0.0,0.0,0.0,0.0,0.08,3,0.0,0.0,0.0,93.82,0.0,0.0,1,0,0
1622,1.0,601.46,200.0,0.58,0.58,0.08,0.17,2,17.0,0.0,66.79,85.83,0.39,4.28,0,1,0
1623,1.0,255.0,1208.84,0.92,0.42,0.92,0.08,1,22.0,0.0,121.99,21.85,0.16,7.02,0,1,0
1624,1.0,1845.55,607.52,1.0,0.92,1.0,0.25,3,42.0,0.0,204.42,273.21,0.54,0.79,0,1,0
1625,1.0,367.16,0.0,0.33,0.33,0.0,0.0,0,8.0,0.0,30.6,0.0,0.92,1.09,0,0,1
1626,1.0,152.61,0.0,0.33,0.33,0.0,0.83,24,2.0,0.0,25.44,619.94,0.72,0.42,0,0,1
1627,0.73,0.0,0.0,0.0,0.0,0.0,0.17,3,0.0,0.0,0.0,163.56,0.62,1.15,1,0,0
1628,1.0,0.0,461.36,0.67,0.0,0.67,0.0,0,9.0,0.0,38.45,0.0,0.03,2.96,0,0,0
1629,0.88,0.0,0.0,0.0,0.0,0.0,0.38,11,0.0,0.0,0.0,896.2334000000003,0.82,0.64,1,0,0
1630,1.0,295.34,0.0,0.42,0.42,0.0,0.0,0,8.0,0.0,24.61,0.0,1.02,0.34,0,0,1
1631,1.0,1385.29,1538.79,1.0,0.33,1.0,0.75,29,85.0,0.0,243.67,655.64,0.88,5.67,0,1,0
1632,0.45,384.95,0.0,0.33,0.33,0.0,0.0,0,4.0,0.27,32.08,0.0,0.0,5.77,0,0,1
1633,0.78,0.0,0.0,0.0,0.0,0.0,0.67,17,0.0,0.0,0.0,643.4,0.43,15.07,1,0,0
1634,0.73,350.0,240.0,0.58,0.08,0.5,0.0,0,7.0,1.0,49.17,0.0,0.01,6.55,0,1,0
1635,1.0,0.0,23.21,0.33,0.0,0.33,0.0,0,4.0,0.0,1.93,0.0,0.81,1.05,0,0,0
1636,0.64,0.0,0.0,0.0,0.0,0.0,0.17,9,0.0,0.0,0.0,223.71,0.27,0.99,1,0,0
1637,1.0,669.47,13.1,0.42,0.33,0.08,0.0,0,9.0,0.0,56.88,0.0,0.75,1.32,0,1,0
1638,0.73,3195.21,297.0,0.58,0.58,0.17,0.0,0,13.0,0.83,291.02,0.0,0.04,26.83,0,1,0
1639,1.0,3238.27,857.81,1.0,0.67,0.83,0.0,0,45.0,0.0,341.34,0.0,0.25,1.17,0,1,0
1640,1.0,0.0,0.0,0.0,0.0,0.0,0.17,2,0.0,0.0,0.0,13.31,0.45,2.2,1,0,0
1641,1.0,6689.898200000005,3886.2405000000003,1.0,0.67,0.83,0.0,0,116.51000000000022,0.58,758.6519000000003,0.0,0.46,18.9,0,1,0
1642,1.0,0.0,1106.4,1.0,0.0,1.0,0.08,1,12.0,1.0,92.2,36.75,0.03,8.24,0,0,0
1643,1.0,0.0,0.0,0.0,0.0,0.0,0.33,4,0.0,0.0,0.0,7.81,0.92,0.54,1,0,0
1644,1.0,1063.85,512.5,0.83,0.83,0.33,0.0,0,20.0,0.25,131.36,0.0,0.03,7.22,0,1,0
1645,1.0,363.85,528.34,0.42,0.08,0.42,0.0,0,6.0,0.0,74.35,0.0,0.69,1.56,0,1,0
1646,1.0,0.0,0.0,0.0,0.0,0.0,0.83,16,0.0,0.0,0.0,336.9,0.79,1.17,1,0,0
1647,1.0,991.58,154.99,1.0,1.0,0.5,0.0,0,20.0,0.0,95.55,0.0,0.27,1.49,0,1,0
1648,0.82,0.0,0.0,0.0,0.0,0.0,0.08,2,0.0,0.11,0.0,187.78,0.38,7.91,1,0,0
1649,1.0,2301.11,694.44,1.0,0.75,1.0,0.0,0,35.0,0.92,249.63,0.0,0.04,15.1,0,1,0
1650,1.0,1937.35,1690.94,1.0,0.92,1.0,0.0,0,73.0,0.0,302.36,0.0,0.17,3.11,0,1,0
1651,0.09,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,47.93,0.01,0.0,1,0,0
1652,1.0,399.85,189.0,0.58,0.42,0.25,0.75,23,13.0,0.0,49.07,139.01,0.35,1.08,0,1,0
1653,1.0,2004.03,1828.95,1.0,1.0,1.0,0.08,1,90.0,0.08,319.42,120.09,0.22,9.97,0,1,0
1654,1.0,938.2,0.0,1.0,1.0,0.0,0.08,1,12.0,0.42,78.18,12.42,0.01,20.4,0,0,1
1655,1.0,83.97,170.88,0.33,0.08,0.25,0.0,0,5.0,0.0,21.24,0.0,0.75,0.6,0,1,0
1656,1.0,1695.03,524.52,0.92,0.75,0.75,0.58,10,33.0,0.0,184.96,79.2,0.68,0.82,0,1,0
1657,0.82,0.0,93.24,1.0,0.0,0.92,0.42,5,12.0,0.09,7.77,455.43,0.21,18.22,0,0,0
1658,1.0,46.0,500.0,0.5,0.08,0.42,0.0,0,7.0,0.6,45.5,0.0,0.02,4.54,0,1,0
1659,1.0,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.0,0.0,21.31,0.96,1.15,1,0,0
1660,1.0,0.0,85.54,0.22,0.0,0.11,0.44,10,2.0,0.0,9.5,896.2334000000003,0.79,0.93,0,0,0
1661,0.64,4534.03,2532.05,0.58,0.33,0.5,0.25,12,87.0,0.0,588.84,432.69,0.47,0.78,0,1,0
1662,1.0,39.0,0.0,0.08,0.08,0.0,0.08,1,1.0,0.0,3.25,7.72,0.98,0.67,0,0,1
1663,1.0,4015.23,0.0,1.0,1.0,0.0,0.0,0,26.0,0.92,334.6,0.0,0.05,18.03,0,0,1
1664,1.0,630.0,307.56,0.67,0.08,0.67,0.0,0,13.0,0.58,78.13,0.0,0.02,4.86,0,1,0
1665,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,90.22,0.75,0.7,1,0,0
1666,0.9,0.0,898.45,0.9,0.0,0.8,0.0,0,11.0,1.0,89.84,0.0,0.02,5.07,0,0,0
1667,1.0,3096.1,2156.96,0.92,0.83,0.75,0.0,0,78.0,0.0,437.76,0.0,0.37,1.04,0,1,0
1668,1.0,840.0,47.3,0.25,0.17,0.08,0.08,1,6.0,0.0,73.94,23.3,0.31,0.98,0,1,0
1669,0.71,823.39,157.8,0.71,0.57,0.29,0.0,0,16.0,0.25,140.17,0.0,0.02,6.38,0,1,0
1670,1.0,1088.79,562.85,0.42,0.17,0.42,0.0,0,18.0,0.0,137.64,0.0,0.97,0.76,0,1,0
1671,0.91,1845.42,0.0,0.25,0.25,0.0,0.0,0,7.0,0.1,153.78,0.0,0.39,3.59,0,0,1
1672,1.0,165.0,565.2,1.0,0.14,0.86,0.0,0,13.0,0.5,104.31,0.0,0.1,4.55,0,1,0
1673,1.0,0.0,109.8,0.75,0.0,0.75,0.0,0,12.0,0.0,9.15,0.0,0.11,0.7,0,0,0
1674,0.82,640.5,2053.14,0.75,0.25,0.75,0.0,0,33.0,0.12,224.47,0.0,0.03,11.87,0,1,0
1675,1.0,109.06,499.94,0.58,0.08,0.42,0.33,9,11.0,0.0,50.75,283.13,0.84,0.86,0,1,0
1676,1.0,350.57,0.0,0.08,0.08,0.0,0.25,6,3.0,0.0,29.21,79.02,1.0,0.07,0,0,1
1677,0.45,0.0,1194.96,1.0,0.0,1.0,0.0,0,17.0,0.0,99.58,0.0,0.01,48.56,0,0,0
1678,0.82,2125.07,240.0,0.75,0.5,0.42,0.0,0,26.0,0.64,197.09,0.0,0.03,17.4,0,1,0
1679,0.82,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.0,0.0,52.36,0.13,12.71,1,0,0
1680,1.0,61.99,0.0,0.08,0.08,0.0,0.5,22,1.0,0.0,5.17,620.69,0.77,4.32,0,0,1
1681,1.0,1088.83,303.06,0.83,0.83,0.33,0.0,0,19.0,0.25,115.99,0.0,0.06,12.99,0,1,0
1682,0.36,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.0,0.0,467.28,0.2,0.51,1,0,0
1683,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,9.72,0.94,0.0,1,0,0
1684,1.0,517.3,375.0,0.92,0.75,0.42,0.08,1,14.0,0.0,74.36,24.65,0.93,1.04,0,1,0
1685,1.0,100.0,981.23,0.92,0.08,0.83,0.0,0,29.0,1.0,90.1,0.0,0.06,5.91,0,1,0
1686,1.0,0.0,0.0,0.0,0.0,0.0,0.33,12,0.0,0.0,0.0,120.67,0.95,0.53,1,0,0
1687,1.0,0.0,617.34,0.92,0.0,0.92,0.0,0,19.0,0.58,51.44,0.0,0.04,3.53,0,0,0
1688,1.0,0.0,0.0,0.0,0.0,0.0,0.25,5,0.0,0.0,0.0,263.56,0.57,0.96,1,0,0
1689,1.0,0.0,0.0,0.0,0.0,0.0,0.67,14,0.0,0.0,0.0,330.78,0.39,2.98,1,0,0
1690,1.0,343.15,719.48,0.92,0.5,0.75,0.58,20,29.0,0.0,88.55,224.0,0.84,0.58,0,1,0
1691,0.3,250.0,585.31,0.5,0.1,0.4,0.0,0,13.0,0.25,83.53,0.0,0.01,11.79,0,1,0
1692,0.64,675.53,0.0,0.17,0.17,0.0,0.0,0,2.0,0.0,56.29,0.0,0.04,7.15,0,0,1
1693,1.0,332.52,48.07,0.17,0.08,0.08,0.08,1,3.0,0.0,31.72,9.91,0.03,6.02,0,1,0
